Portsmouth,NH,23,1,4,,,Ttest AVL and BST,Ttest AVL and Splay,Ttest Splay and BST
Newton,MA,1,15,7,,,,,
Boston,MA,9,12,13,,,,,
Newton,MA,2,15,7,,,,,
Newton,MA,1,15,7,,,,,
Auburndale,MA,14,10,9,,,,,
Chestnut Hill,MA,25,13,12,,,,,
Waban,MA,28,14,13,,,,,
Quincy,MA,21,6,7,,,,,
Quincy,MA,1,6,7,,,,,
Quincy,MA,1,6,7,,,,,
Watertown,MA,20,17,7,,,,,
Lexington,MA,30,12,9,,,,,
Arlington,MA,19,10,9,,,,,
Arlington Heights,MA,13,11,15,,,,,
Melrose,MA,21,17,10,,,,,
Melrose,MA,1,17,10,,,,,
Belmont,MA,20,10,10,,,,,
Waverley,MA,25,18,9,,,,,
Stoneham,MA,23,13,13,,,,,
Wellesley,MA,23,16,14,,,,,
Braintree,MA,27,12,14,,,,,
Braintree,MA,1,12,14,,,,,
Milton,MA,16,15,9,,,,,
Milton Village,MA,11,16,14,,,,,
Weymouth,MA,26,16,12,,,,,
Weymouth,MA,1,16,12,,,,,
Weymouth,MA,1,16,12,,,,,
Weymouth,MA,1,16,12,,,,,
Needham,MA,23,15,8,,,,,
Weston,MA,18,16,10,,,,,
Needham,MA,2,15,8,,,,,
Newton,MA,6,15,7,,,,,
Boston,MA,6,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Cambridge,MA,11,18,12,,,,,
Cambridge,MA,1,18,12,,,,,
Boston,MA,2,12,13,,,,,
Waltham,MA,9,11,10,,,,,
Newton,MA,3,15,7,,,,,
Boston,MA,3,12,13,,,,,
Quincy,MA,6,6,7,,,,,
Watertown,MA,5,17,7,,,,,
Watertown,MA,1,17,7,,,,,
Boston,MA,4,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Boston,MA,1,12,13,,,,,
Brockton,MA,25,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Avon,MA,21,11,14,,,,,
Bridgewater,MA,17,13,9,,,,,
Bridgewater,MA,1,13,9,,,,,
Bryantville,MA,21,15,9,,,,,
Carver,MA,24,15,9,,,,,
Duxbury,MA,25,22,7,,,,,
Duxbury,MA,1,22,7,,,,,
East Bridgewater,MA,14,23,14,,,,,
Easton,MA,21,17,14,,,,,
Elmwood,MA,15,18,8,,,,,
Halifax,MA,24,23,10,,,,,
Hanover,MA,19,24,14,,,,,
Hanson,MA,15,24,11,,,,,
Holbrook,MA,16,27,13,,,,,
Middleboro,MA,18,16,10,,,,,
Manomet,MA,19,16,12,,,,,
Middleboro,MA,2,16,10,,,,,
Lakeville,MA,22,10,13,,,,,
Middleboro,MA,2,16,10,,,,,
Middleboro,MA,1,16,10,,,,,
Monponsett,MA,15,15,11,,,,,
Abington,MA,32,7,10,,,,,
North Carver,MA,18,15,12,,,,,
North Easton,MA,11,15,14,,,,,
North Easton,MA,1,15,14,,,,,
North Pembroke,MA,12,15,13,,,,,
Pembroke,MA,20,19,10,,,,,
Plymouth,MA,19,14,11,,,,,
Plymouth,MA,1,14,11,,,,,
Plymouth,MA,1,14,11,,,,,
Kingston,MA,30,10,6,,,,,
South Carver,MA,20,9,11,,,,,
Plympton,MA,17,15,16,,,,,
Randolph,MA,22,7,15,,,,,
Rockland,MA,15,7,12,,,,,
South Easton,MA,9,9,11,,,,,
West Bridgewater,MA,16,16,14,,,,,
White Horse Beach,MA,20,17,10,,,,,
Whitman,MA,11,17,14,,,,,
Brockton,MA,18,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Brockton,MA,1,14,9,,,,,
Lexington,MA,16,12,9,,,,,
Lexington,MA,1,12,9,,,,,
Brookline,MA,9,14,14,,,,,
Brookline,MA,1,14,14,,,,,
Brookline Village,MA,3,15,6,,,,,
Waltham,MA,11,11,10,,,,,
Waltham,MA,1,11,10,,,,,
Waltham,MA,1,11,10,,,,,
Waltham,MA,1,11,10,,,,,
New Town,MA,22,15,6,,,,,
Babson Park,MA,11,10,15,,,,,
Newton,MA,7,15,7,,,,,
Newton Center,MA,12,16,12,,,,,
Newtonville,MA,18,16,12,,,,,
Newton Highlands,MA,11,17,11,,,,,
Newton Lower Falls,MA,7,18,13,,,,,
Newton Upper Falls,MA,4,19,14,,,,,
West Newton,MA,19,18,14,,,,,
Auburndale,MA,14,10,9,,,,,
Chestnut Hill,MA,15,13,12,,,,,
Waban,MA,13,14,13,,,,,
Watertown,MA,5,17,7,,,,,
